node1,node2,node_types,weight,min_type
0,4,"(0, 0)",0.05770441924150231,0
0,11,"(0, 1)",0.3315917520083981,0
0,14,"(0, 0)",0.17010094062056447,0
0,15,"(0, 0)",0.21443201719892577,0
0,22,"(0, 0)",0.25524327611124464,0
0,108,"(0, 0)",0.44474446595770195,0
0,110,"(0, 0)",0.41786478674326727,0
0,121,"(0, 0)",0.42373063377574155,0
0,126,"(0, 0)",0.3547549717762855,0
0,127,"(0, 0)",0.16961303015982773,0
0,132,"(0, 0)",0.3827966170174425,0
0,134,"(0, 0)",0.26715688274868815,0
0,135,"(0, 0)",0.42425903643881346,0
0,141,"(0, 0)",0.1351386325223033,0
0,156,"(0, 0)",0.3620785550125831,0
0,159,"(0, 0)",0.4554923599798342,0
0,161,"(0, 0)",0.45970203393067266,0
0,162,"(0, 0)",0.4663510480314202,0
0,854,"(0, 0)",0.4723845442880068,0
0,1065,"(0, 0)",0.22929671353763928,0
0,1187,"(0, 0)",0.4040095481891557,0
0,3647,"(0, 0)",0.18379200211404265,0
0,3750,"(0, 0)",0.4128860950286004,0
0,4059,"(0, 0)",0.3839393445928164,0
0,4297,"(0, 0)",0.09225850181302714,0
1,2,"(1, 0)",0.40407822262526644,0
1,5,"(1, 0)",0.0731861325662164,0
1,8,"(1, 0)",0.23751221021244434,0
1,12,"(1, 0)",0.1334844185663579,0
1,20,"(1, 0)",0.2923526124391517,0
1,25,"(1, 1)",0.6037002236209632,1
1,32,"(1, 0)",0.43290026565018075,0
1,49,"(1, 1)",1.1060142946634985,1
1,51,"(1, 1)",1.3398288920604737,1
1,90,"(1, 1)",0.9047171325889678,1
1,109,"(1, 0)",0.4876564774510839,0
1,112,"(1, 1)",1.3795500498350928,1
1,123,"(1, 2)",0.8422564039531018,1
1,138,"(1, 1)",1.6319350630463245,1
1,147,"(1, 1)",1.8925736815247116,1
1,152,"(1, 1)",0.922499024389733,1
1,164,"(1, 1)",1.8230500953073125,1
1,173,"(1, 1)",1.189373793220619,1
1,177,"(1, 1)",1.1843168241648838,1
1,196,"(1, 0)",0.3268426532752454,0
1,205,"(1, 0)",0.24190130218748812,0
1,271,"(1, 1)",1.8335643829199362,1
1,387,"(1, 2)",1.1483682453077906,1
1,1191,"(1, 1)",1.8963402013065176,1
1,1217,"(1, 1)",0.863016700567079,1
1,1412,"(1, 1)",1.6610347483947434,1
1,1521,"(1, 2)",1.8883024073430101,1
1,1700,"(1, 1)",1.9500055651483823,1
1,2049,"(1, 1)",1.6017123374642972,1
1,2485,"(1, 1)",1.3108608141697582,1
1,2504,"(1, 1)",1.915316615638042,1
1,2577,"(1, 0)",0.33136794320993196,0
1,2702,"(1, 1)",1.0685874556949906,1
1,2727,"(1, 1)",0.4716038499730228,1
1,3110,"(1, 0)",0.09694988434497723,0
1,3134,"(1, 1)",1.9573889758557312,1
1,3247,"(1, 1)",1.6476753453704596,1
1,3308,"(1, 1)",1.7478179591628535,1
1,4138,"(1, 2)",0.6686962790019093,1
1,4231,"(1, 0)",0.42089180279340965,0
1,4280,"(1, 1)",1.7136108412816753,1
1,4320,"(1, 1)",1.37500911317336,1
2,5,"(0, 0)",0.3495566334658727,0
2,8,"(0, 0)",0.19540854638422825,0
2,12,"(0, 0)",0.3917919856250201,0
2,140,"(0, 0)",0.49600698583790803,0
2,205,"(0, 0)",0.4711093822033193,0
2,2553,"(0, 0)",0.4735954933316837,0
2,3110,"(0, 0)",0.45279147653326696,0
3,9,"(1, 0)",0.26027112786476914,0
3,11,"(1, 1)",1.1699217238772777,1
3,13,"(1, 0)",0.4230011820314443,0
3,18,"(1, 0)",0.4520540343808484,0
3,24,"(1, 2)",0.820283615586706,1
3,26,"(1, 0)",0.3867348574928262,0
3,28,"(1, 1)",1.995226515962532,1
3,86,"(1, 1)",1.1003745953083441,1
3,119,"(1, 0)",0.33463738583727015,0
3,128,"(1, 0)",0.2477907383257084,0
3,135,"(1, 0)",0.45912272869027615,0
3,160,"(1, 0)",0.4757939049630625,0
3,163,"(1, 1)",0.8610829460626808,1
3,287,"(1, 1)",1.4416857153696339,1
3,407,"(1, 1)",1.4894117053423508,1
3,443,"(1, 1)",1.1369591427514667,1
3,493,"(1, 0)",0.16063023949549046,0
3,543,"(1, 2)",1.3955430441125922,1
3,726,"(1, 1)",1.3876353315495253,1
3,905,"(1, 1)",0.907090578623436,1
3,984,"(1, 0)",0.32514200490077394,0
3,1060,"(1, 1)",0.2974422741225393,1
3,1231,"(1, 1)",1.4674373232025892,1
3,1345,"(1, 0)",0.44476625588444796,0
3,1996,"(1, 1)",1.8718916671014725,1
3,2515,"(1, 0)",0.3749772532538385,0
3,2535,"(1, 1)",1.2775247022918395,1
3,3107,"(1, 1)",1.3441402350750735,1
3,3344,"(1, 0)",0.09482925531937726,0
3,3884,"(1, 2)",0.8743705254476581,1
3,4111,"(1, 1)",0.9599518105888721,1
3,4125,"(1, 0)",0.21741167552599386,0
4,11,"(0, 1)",0.35276599892845706,0
4,14,"(0, 0)",0.11473730866637018,0
4,15,"(0, 0)",0.21462900549552383,0
4,22,"(0, 0)",0.2158258788931506,0
4,108,"(0, 0)",0.48805581648004154,0
4,110,"(0, 0)",0.45342520882720644,0
4,121,"(0, 0)",0.4148669304728902,0
4,126,"(0, 0)",0.3430569194754689,0
4,127,"(0, 0)",0.1937241853770438,0
4,132,"(0, 0)",0.36128970370051333,0
4,134,"(0, 0)",0.25124689052802285,0
4,135,"(0, 0)",0.39879489715892547,0
4,141,"(0, 0)",0.1132837587653257,0
4,156,"(0, 0)",0.30462757590212586,0
4,159,"(0, 0)",0.39785983712861145,0
4,161,"(0, 0)",0.43876854946542654,0
4,162,"(0, 0)",0.4230986882513408,0
4,163,"(0, 1)",0.4631366644954859,0
4,854,"(0, 0)",0.44076229002844197,0
4,1065,"(0, 0)",0.21778095084979923,0
4,1187,"(0, 0)",0.4025271549990738,0
4,3647,"(0, 0)",0.1481610350072903,0
