node1,node2,node_types,weight,min_type
0,4,"(0, 0)",0.05770441924150231,0
0,11,"(0, 1)",0.3315917520083981,0
0,14,"(0, 0)",0.17010094062056447,0
0,15,"(0, 0)",0.21443201719892577,0
0,22,"(0, 0)",0.25524327611124464,0
0,108,"(0, 0)",0.44474446595770195,0
0,110,"(0, 0)",0.41786478674326727,0
0,121,"(0, 0)",0.42373063377574155,0
0,126,"(0, 0)",0.3547549717762855,0
0,127,"(0, 0)",0.16961303015982773,0
0,132,"(0, 0)",0.3827966170174425,0
0,134,"(0, 0)",0.26715688274868815,0
0,135,"(0, 0)",0.42425903643881346,0
0,141,"(0, 0)",0.1351386325223033,0
0,156,"(0, 0)",0.3620785550125831,0
0,159,"(0, 0)",0.4554923599798342,0
0,161,"(0, 0)",0.45970203393067266,0
0,162,"(0, 0)",0.4663510480314202,0
0,276,"(0, 0)",0.35474707427548324,0
1,2,"(1, 0)",0.40407822262526644,0
1,5,"(1, 0)",0.0731861325662164,0
1,8,"(1, 0)",0.23751221021244434,0
1,12,"(1, 0)",0.1334844185663579,0
1,20,"(1, 0)",0.2923526124391517,0
1,25,"(1, 1)",0.6037002236209632,1
1,32,"(1, 0)",0.43290026565018075,0
1,49,"(1, 1)",1.1060142946634985,1
1,51,"(1, 1)",1.3398288920604737,1
1,90,"(1, 1)",0.9047171325889678,1
1,109,"(1, 0)",0.4876564774510839,0
1,112,"(1, 1)",1.3795500498350928,1
1,123,"(1, 2)",0.8422564039531018,1
1,138,"(1, 1)",1.6319350630463245,1
1,147,"(1, 1)",1.8925736815247116,1
1,152,"(1, 1)",0.922499024389733,1
1,164,"(1, 1)",1.8230500953073125,1
1,173,"(1, 1)",1.189373793220619,1
1,177,"(1, 1)",1.1843168241648838,1
1,196,"(1, 0)",0.3268426532752454,0
1,205,"(1, 0)",0.24190130218748812,0
1,823,"(1, 1)",1.9298822518066048,1
2,5,"(0, 0)",0.3495566334658727,0
2,8,"(0, 0)",0.19540854638422825,0
2,12,"(0, 0)",0.3917919856250201,0
2,140,"(0, 0)",0.49600698583790803,0
2,205,"(0, 0)",0.4711093822033193,0
3,9,"(1, 0)",0.26027112786476914,0
3,11,"(1, 1)",1.1699217238772777,1
3,13,"(1, 0)",0.4230011820314443,0
3,18,"(1, 0)",0.4520540343808484,0
3,24,"(1, 2)",0.820283615586706,1
3,26,"(1, 0)",0.3867348574928262,0
3,28,"(1, 1)",1.995226515962532,1
3,86,"(1, 1)",1.1003745953083441,1
3,119,"(1, 0)",0.33463738583727015,0
3,128,"(1, 0)",0.2477907383257084,0
3,135,"(1, 0)",0.45912272869027615,0
3,160,"(1, 0)",0.4757939049630625,0
3,163,"(1, 1)",0.8610829460626808,1
3,271,"(1, 1)",0.682621606603375,1
3,283,"(1, 1)",0.9592987706192763,1
4,11,"(0, 1)",0.35276599892845706,0
4,14,"(0, 0)",0.11473730866637018,0
4,15,"(0, 0)",0.21462900549552383,0
4,22,"(0, 0)",0.2158258788931506,0
4,108,"(0, 0)",0.48805581648004154,0
4,110,"(0, 0)",0.45342520882720644,0
4,121,"(0, 0)",0.4148669304728902,0
4,126,"(0, 0)",0.3430569194754689,0
4,127,"(0, 0)",0.1937241853770438,0
4,132,"(0, 0)",0.36128970370051333,0
4,134,"(0, 0)",0.25124689052802285,0
4,135,"(0, 0)",0.39879489715892547,0
4,141,"(0, 0)",0.1132837587653257,0
4,156,"(0, 0)",0.30462757590212586,0
4,159,"(0, 0)",0.39785983712861145,0
4,161,"(0, 0)",0.43876854946542654,0
4,162,"(0, 0)",0.4230986882513408,0
4,163,"(0, 1)",0.4631366644954859,0
4,276,"(0, 0)",0.30297128577633775,0
5,8,"(0, 0)",0.17014940493578062,0
5,12,"(0, 0)",0.0869174320835581,0
5,20,"(0, 0)",0.30568428157168676,0
5,32,"(0, 0)",0.4149157143324412,0
5,196,"(0, 0)",0.39669062252591936,0
5,205,"(0, 0)",0.2929441072969393,0
6,10,"(0, 0)",0.2055261540534355,0
6,11,"(0, 1)",0.3197699172842975,0
6,15,"(0, 0)",0.482491243443862,0
7,13,"(0, 0)",0.23167429723645191,0
7,18,"(0, 0)",0.24183161497207586,0
7,19,"(0, 0)",0.13096106291566514,0
7,23,"(0, 0)",0.19026184588613695,0
7,24,"(0, 2)",0.2573006995715247,0
7,160,"(0, 0)",0.47067341118869094,0
7,192,"(0, 0)",0.3566649127682672,0
7,204,"(0, 0)",0.4990334357535527,0
8,12,"(0, 0)",0.19735962099680146,0
8,20,"(0, 0)",0.44231637998156575,0
8,32,"(0, 0)",0.4948453596832034,0
8,205,"(0, 0)",0.39037357748700324,0
9,26,"(0, 0)",0.20311989070497039,0
9,115,"(0, 0)",0.45675632453202225,0
9,119,"(0, 0)",0.33668976818430496,0
9,121,"(0, 0)",0.38511351573270663,0
9,126,"(0, 0)",0.3824923005761087,0
9,128,"(0, 0)",0.24410491596852346,0
9,132,"(0, 0)",0.3148071473140369,0
9,134,"(0, 0)",0.40586708415441075,0
9,135,"(0, 0)",0.26898494381657045,0
9,141,"(0, 0)",0.492521207665219,0
9,156,"(0, 0)",0.38350704035258365,0
9,159,"(0, 0)",0.41811177931266014,0
9,276,"(0, 0)",0.2950263762757991,0
11,14,"(1, 0)",0.382039395874295,0
11,15,"(1, 0)",0.1628566240593183,0
11,22,"(1, 0)",0.3217190389143896,0
11,24,"(1, 2)",1.9505245166364795,1
11,86,"(1, 1)",0.9849985837553281,1
11,127,"(1, 0)",0.48269150603671707,0
11,141,"(1, 0)",0.46241128878952836,0
11,161,"(1, 0)",0.30556212134359423,0
11,162,"(1, 0)",0.4595006528831024,0
11,163,"(1, 1)",0.5707166372202567,1
11,271,"(1, 1)",0.8610786843568525,1
11,283,"(1, 1)",1.8030939528204246,1
12,20,"(0, 0)",0.24556628433072217,0
12,31,"(0, 0)",0.46229663637106044,0
12,32,"(0, 0)",0.33094067444180914,0
12,196,"(0, 0)",0.4558034335105405,0
