type,x,y
0,105.0575,56.8539
0,86.1622,54.6636
0,78.3292,53.3314
0,79.3881,53.8400
0,73.7483,54.8508
0,103.1089,56.4044
0,78.5728,52.9253
0,74.3775,54.4889
0,90.0886,52.6517
0,81.7917,54.0131
0,87.7800,52.8744
0,85.6014,56.8236
0,86.9483,55.0042
0,79.2394,54.5261
0,104.1494,52.4381
0,83.7481,55.1594
0,91.9289,53.9658
0,77.2408,54.0081
0,79.0533,55.6878
0,85.3394,52.3511
0,104.8697,53.0469
0,100.6378,54.5972
0,94.5528,55.9933
0,79.9358,54.1344
0,93.1206,56.0356
0,81.8925,50.8719
0,85.6061,50.2689
0,85.4136,52.2850
0,86.9906,53.7450
0,94.5672,51.2883
0,80.4892,54.3175
0,86.0058,54.2925
0,82.5406,54.2689
0,95.3525,51.5372
0,94.1078,51.5800
0,106.0692,52.5467
0,73.6994,54.5694
0,96.2811,58.4981
0,100.4553,54.6492
0,91.4311,51.4547
0,88.5494,53.6428
0,81.6436,51.3817
0,92.0797,53.7961
0,86.5553,56.4739
0,82.0861,51.1758
0,86.2989,54.5294
0,83.3639,55.1983
0,72.0758,55.3494
0,82.0883,54.0156
0,84.7686,50.9264
0,84.5014,53.6139
0,73.3928,54.7856
0,74.2592,53.6464
0,86.2808,54.6056
0,75.0158,53.9464
0,70.7694,55.7797
0,98.0661,56.0136
0,73.7656,53.9528
0,81.6842,52.9875
0,91.3961,56.9872
0,85.4344,52.4503
0,84.9103,52.0836
0,88.0214,56.1722
0,82.7722,55.0978
0,73.0583,55.7781
0,87.7950,55.8586
0,88.6658,49.9936
0,85.8411,53.2958
0,92.3911,53.2758
0,91.6633,54.0928
0,83.5986,53.0472
0,74.1267,54.3600
0,81.2806,51.5842
0,98.1792,55.7911
0,85.4542,54.7939
0,82.6022,54.8069
0,101.7361,55.6778
0,107.6917,56.0228
0,90.5761,51.1450
0,73.6711,54.0936
0,85.3694,56.3611
0,84.2003,53.3344
0,79.9956,54.1522
0,84.9339,55.7136
0,101.1639,54.4644
0,88.6033,49.9297
0,93.3406,56.1975
0,83.1978,55.4150
0,89.8128,56.3503
0,85.9233,55.5639
0,81.8294,51.9875
0,94.7875,55.4425
0,74.4883,54.0503
0,74.5289,54.1781
0,104.2258,53.1767
0,87.3369,53.5986
0,73.0111,55.2047
0,107.5756,56.2689
0,94.2625,51.8747
0,90.0131,55.5642
0,103.7269,52.4619
0,91.0508,53.1522
0,82.2781,50.9686
0,89.8494,55.0397
0,83.3303,54.2411
0,87.9894,52.9211
0,102.8914,53.0558
0,103.7494,51.7531
0,71.9275,54.9386
0,107.4928,56.1978
0,77.9042,53.9031
0,82.9708,53.3283
0,88.1275,56.2122
0,85.2372,53.5842
0,84.8806,56.2817
0,91.1258,54.0981
0,93.2722,57.6208
0,92.8444,53.2242
0,78.9808,53.0900
0,83.5022,53.8761
0,72.6522,54.8014
0,105.8622,53.2369
0,90.6886,55.7592
0,74.5700,55.8581
0,92.1833,53.8667
0,81.6658,52.7314
0,104.6153,52.5936
0,102.5433,53.0697
0,81.7483,53.1386
0,82.2908,51.5939
0,74.4158,54.9578
0,82.3461,54.6089
0,83.4078,54.2367
0,85.6753,51.2894
0,73.4967,55.6106
0,79.5169,53.4406
0,85.4908,56.2831
0,81.1911,51.7378
0,82.8317,58.3606
0,89.5236,53.4453
0,99.5211,56.0458
0,79.2386,53.9839
0,79.0450,53.2783
0,86.0564,55.3031
0,85.7375,54.4439
0,70.8675,56.2789
0,85.5286,52.5281
0,95.2811,55.8036
0,85.8367,53.1158
0,80.3650,52.0197
0,102.3158,53.6692
0,93.9172,52.1450
0,90.3181,56.2886
0,104.3794,52.1628
0,82.1300,54.5625
0,91.3061,53.8269
0,85.9408,55.0231
0,83.1244,51.6231
0,104.2806,52.2864
0,91.4425,53.7211
0,74.3669,55.3681
0,78.7528,54.7042
0,83.7519,51.2031
0,74.6153,56.5803
0,78.4989,53.5881
0,93.3808,54.3078
0,92.5183,56.3772
0,88.9983,49.9156
0,82.0067,51.0069
0,84.3908,55.6694
0,82.0631,53.5256
0,87.3067,53.4614
0,84.9475,50.8058
0,91.3444,53.6544
0,84.7381,52.8833
0,104.2925,52.4625
0,75.0558,54.4150
0,84.7872,52.5328
0,89.4794,55.7244
0,86.3711,54.4411
0,86.0017,55.2386
0,102.4897,52.9850
0,93.7208,55.7858
0,73.1528,55.0297
0,77.5375,54.1428
0,88.1664,57.3061
0,95.8872,56.2169
0,101.6342,56.1514
0,94.7503,55.9014
0,85.8514,51.8869
0,84.9308,52.8017
0,103.9103,51.9675
0,89.6933,55.4722
0,92.7072,51.4047
0,79.1197,54.3789
0,91.3925,53.7383
0,92.2222,53.1350
0,81.5400,51.8469
0,76.3400,54.9047
0,100.5781,54.5572
0,96.7017,57.6181
0,73.0922,55.3269
0,104.1139,52.1619
0,82.0569,54.6092
0,80.4786,52.6336
0,90.5803,56.6550
0,92.4969,53.2442
0,84.1703,56.5350
0,97.6239,56.0678
0,103.5042,52.9694
0,93.2733,56.4972
0,71.6817,54.5700
0,82.5636,55.2011
0,90.3150,53.9761
0,73.5378,55.0181
0,84.3028,53.4003
0,93.2781,54.0919
0,104.0525,52.4194
0,103.7786,53.1531
0,85.9128,53.2550
0,77.0789,56.0247
0,74.6939,54.1694
0,104.4497,52.2733
0,84.0525,51.7469
0,101.0500,55.5219
0,71.5397,56.2533
0,83.6978,53.2028
0,95.5575,51.4911
0,87.9561,50.6319
0,89.2386,54.8639
0,75.9742,55.2144
