type,x,y
0,32.3500,62.0786
0,39.3692,54.4111
0,29.6142,58.5803
0,38.5081,55.7278
0,44.8897,48.6169
0,47.6133,41.7853
0,93.1636,53.9039
0,48.3483,41.6175
0,38.4014,44.4706
0,39.3508,50.9861
0,41.1706,46.3281
0,78.2372,59.2211
0,61.6289,57.7631
0,45.7797,43.5286
0,41.7614,47.0106
0,41.9167,44.5906
0,40.4281,48.2569
0,80.5178,54.3558
0,81.7917,54.0131
0,43.3400,43.7297
0,128.6117,50.8883
0,40.5289,48.2911
0,39.4353,47.1578
0,43.4122,50.1906
0,130.7258,63.0228
0,63.9094,55.3417
0,132.1672,44.0267
0,41.3625,46.4142
0,41.2692,44.8975
0,41.1806,43.9178
0,44.1183,50.3608
0,44.6119,56.3128
0,45.6322,43.5717
0,61.9464,56.9856
0,48.1181,41.7000
0,56.4167,51.2467
0,46.6661,51.9869
0,39.2747,45.5083
0,38.6672,46.6297
0,45.7206,51.4944
0,61.0581,56.8658
0,56.7139,57.4858
0,39.9364,51.8439
0,47.0394,42.7589
0,49.6400,54.3894
0,38.7253,52.7103
0,46.5217,42.4883
0,42.6681,51.0842
0,135.0092,47.9622
0,39.2519,55.0058
0,82.5406,54.2689
0,133.4736,45.0492
0,39.6569,45.5781
0,41.2389,52.8722
0,45.1308,52.5653
0,40.5519,55.1472
0,64.0500,61.4736
0,45.5189,43.3983
0,53.3806,54.2561
0,43.7281,54.3897
0,59.8869,53.7514
0,54.1872,57.1861
0,111.5450,52.5256
0,43.8061,48.9142
0,50.3553,60.6689
0,142.0667,47.1242
0,36.7642,58.1658
0,45.7319,43.2244
0,39.5953,46.2450
0,42.1619,51.4286
0,88.3958,56.0675
0,56.6431,56.4711
0,40.9400,45.3081
0,38.1792,55.5519
0,43.8600,49.7900
0,47.6347,54.9956
0,39.1958,45.4206
0,43.0419,44.9442
0,22.2047,54.9194
0,60.7372,53.3464
0,76.5006,64.4325
0,30.2839,60.2189
0,40.3669,45.2572
